;Averages;StDevs;UpperBand;LowerBand;RSI;Close
2018-10-15;1654.52650755;58.988892232086705;1654.52650755;1654.52650755;65.73215342938711;1553.089966
2018-10-16;1648.8200073;58.76119751579243;1648.8200073;1648.8200073;67.40512112133734;1596.839966
2018-10-17;1643.1535033999996;58.73294509926486;1643.1535033999996;1643.1535033999996;71.34378077303582;1589.599976
2018-10-18;1635.1820007;58.54731272990349;1635.1820007;1635.1820007;73.41119962832059;1560.75
2018-10-19;1626.66800535;59.11779891288922;1626.66800535;1626.66800535;74.47525487204658;1542.040039
2018-10-22;1618.37700805;59.13440955809491;1618.37700805;1618.37700805;70.97217028436609;1539.5
2018-10-23;1609.2660034;58.502004352267775;1609.2660034;1609.2660034;70.7369179739963;1526.589966
2018-10-24;1598.1205016999997;63.04595039798008;1598.1205016999997;1598.1205016999997;75.27750615998055;1468.699951
2018-10-25;1588.61400145;62.71210134883666;1588.61400145;1588.61400145;56.436244848677184;1500.400024
2018-10-26;1577.9765014500001;61.46780305044749;1577.9765014500001;1577.9765014500001;56.051185497354155;1483.819946
2018-10-29;1568.1925049;61.12074472731625;1568.1925049;1568.1925049;55.26200369102002;1477.310059
2018-10-30;1560.7225036999998;58.90878975219246;1560.7225036999998;1560.7225036999998;48.92927603245847;1506.640015
2018-10-31;1552.72850345;53.735768591834706;1552.72850345;1552.72850345;46.45402914050886;1511.410034
2018-11-01;1547.6320007499999;48.954068601647535;1547.6320007499999;1547.6320007499999;50.53155943926567;1544.97998
2018-11-02;1543.4255005;44.74678124266042;1543.4255005;1543.4255005;50.02582814498966;1547.97998
2018-11-05;1539.325;39.94163442014738;1539.325;1539.325;49.298590259746284;1547.51001
2018-11-06;1536.03649905;35.215717105015294;1536.03649905;1536.03649905;49.03627378015105;1556.099976
2018-11-07;1536.37399905;35.642682123377;1536.37399905;1536.37399905;48.852780521242664;1582.160034
2018-11-08;1538.01549685;36.81594638666939;1538.01549685;1538.01549685;44.11623273251886;1578.209961
