;Averages;StDevs;UpperBand;LowerBand;RSI;Close
2014-10-16;1946.2880065999998;46.48333932639807;2039.254685252796;1853.3213279472036;57.298973786961206;1862.7600100000002
2014-10-17;1940.1060058999997;45.7235427178465;2031.5530913356927;1848.6589204643067;61.4080457564665;1886.7600100000002
2014-10-20;1935.5920044500003;44.533660899997166;2024.6593262499946;1846.524682650006;59.83420136305808;1904.0100100000002
2014-10-21;1933.5175049000002;43.16565984933977;2019.8488245986798;1847.1861852013205;59.31337640505575;1941.280029
2014-10-22;1929.9580017;40.38830383385075;2010.7346093677015;1849.1813940322986;57.21290328292467;1927.109985
2014-10-23;1929.1994994999998;39.81436970975119;2008.8282389195022;1849.5707600804974;53.171697547925696;1950.819946
2014-10-24;1928.2859985;38.71298576109871;2005.7119700221974;1850.8600269778026;54.14758705794688;1964.5799559999998
2014-10-27;1927.4774963;37.782144293337545;2003.041784886675;1851.913207713325;53.818758087200756;1961.630005
2014-10-28;1928.1154967999998;38.675854067420644;2005.4672049348412;1850.7637886651585;53.64158908000466;1985.050049
2014-10-29;1929.9224975500001;40.37043434129165;2010.6633662325835;1849.1816288674167;48.48391015724053;1982.300049
2014-10-30;1932.34649655;42.78085030332635;2017.9081971566527;1846.7847959433473;48.275151879244696;1994.6500239999998
2014-10-31;1934.8539978000001;46.299435166995586;2027.4528681339914;1842.2551274660088;51.73687039869915;2018.050049
2014-11-03;1937.5035034499997;49.50941891960353;2036.5223412892067;1838.4846656107927;46.68401982485981;2017.810059
2014-11-04;1941.3535034499996;52.23170817872344;2045.8169198074465;1836.8900870925527;46.99425296390554;2012.0999760000002
2014-11-05;1944.0875;55.10118188655308;2054.2898637731064;1833.885136226894;40.45180210591473;2023.569946
2014-11-06;1949.2375000000004;58.26185970372995;2065.7612194074604;1832.7137805925406;38.145710042516015;2031.209961
2014-11-07;1955.5270019500003;60.12330833079673;2075.773618611594;1835.280385288407;29.758062069204883;2031.9200440000002
2014-11-10;1963.7030029500002;59.67574723908182;2083.054497428164;1844.3515084718365;30.014491420098878;2038.2600100000002
2014-11-11;1971.8020081;58.36672223083532;2088.535452561671;1855.0685636383294;25.03847931193205;2039.680054
2014-11-12;1980.5900085999997;54.11899670664633;2088.8280020132925;1872.352015186707;21.320233985676666;2038.25
2014-11-13;1989.4185059;47.93420701726292;2085.286919934526;1893.550091865474;23.485534114578797;2039.3299559999998
2014-11-14;1997.0715027;42.60358709161889;2082.278676883238;1911.8643285167623;25.309074868245176;2039.819946
2014-11-17;2003.9369995000004;37.58571216012735;2079.108423820255;1928.7655751797456;30.58743475444524;2041.319946
2014-11-18;2009.4630005000004;35.97899330622371;2081.4209871124476;1937.5050138875529;21.05902687173564;2051.800049
2014-11-19;2015.5434998;31.300674587824815;2078.14484897565;1952.9421506243505;23.760129186516693;2048.719971
2014-11-20;2020.6400024999998;28.368450608502723;2077.3769037170055;1963.9031012829944;24.443946004448648;2052.75
2014-11-21;2025.5860046999999;26.651357845810878;2078.8887203916215;1972.2832890083782;24.75888141738004;2063.5
2014-11-24;2030.9750000499996;23.780733202421178;2078.536466454842;1983.4135336451573;27.382113192422963;2069.409912
