;Averages;StDevs;UpperBand;LowerBand;RSI;Close
2018-10-15;1654.52650755;58.988892232086705;1772.5042920141734;1536.5487230858264;65.73215342938711;1553.089966
2018-10-16;1648.8200073;58.76119751579243;1766.342402331585;1531.2976122684152;67.40512112133734;1596.839966
2018-10-17;1643.1535033999996;58.73294509926486;1760.6193935985293;1525.68761320147;71.34378077303582;1589.599976
2018-10-18;1635.1820007;58.54731272990349;1752.276626159807;1518.0873752401928;73.41119962832059;1560.75
2018-10-19;1626.66800535;59.11779891288922;1744.9036031757785;1508.4324075242214;74.47525487204658;1542.040039
2018-10-22;1618.37700805;59.13440955809491;1736.64582716619;1500.1081889338102;70.97217028436609;1539.5
2018-10-23;1609.2660034;58.502004352267775;1726.2700121045357;1492.2619946954644;70.7369179739963;1526.589966
2018-10-24;1598.1205016999997;63.04595039798008;1724.2124024959599;1472.0286009040396;75.27750615998055;1468.699951
2018-10-25;1588.61400145;62.71210134883666;1714.0382041476732;1463.1897987523266;56.436244848677184;1500.400024
2018-10-26;1577.9765014500001;61.46780305044749;1700.9121075508951;1455.040895349105;56.051185497354155;1483.819946
2018-10-29;1568.1925049;61.12074472731625;1690.4339943546324;1445.9510154453674;55.26200369102002;1477.310059
2018-10-30;1560.7225036999998;58.90878975219246;1678.5400832043847;1442.904924195615;48.92927603245847;1506.640015
2018-10-31;1552.72850345;53.735768591834706;1660.2000406336695;1445.2569662663307;46.45402914050886;1511.410034
2018-11-01;1547.6320007499999;48.954068601647535;1645.540137953295;1449.7238635467047;50.53155943926567;1544.97998
2018-11-02;1543.4255005;44.74678124266042;1632.9190629853208;1453.9319380146792;50.02582814498966;1547.97998
2018-11-05;1539.325;39.94163442014738;1619.2082688402947;1459.4417311597053;49.298590259746284;1547.51001
2018-11-06;1536.03649905;35.215717105015294;1606.4679332600306;1465.6050648399694;49.03627378015105;1556.099976
2018-11-07;1536.37399905;35.642682123377;1607.659363296754;1465.0886348032461;48.852780521242664;1582.160034
2018-11-08;1538.01549685;36.81594638666939;1611.6473896233388;1464.3836040766614;44.11623273251886;1578.209961
2018-11-09;1538.15599365;36.85609205802579;1611.8681777660515;1464.4438095339485;43.54560296517284;1549.48999
2018-11-12;1536.4409973;36.92257285166865;1610.2861430033372;1462.5958515966627;49.29714539893281;1518.790039
2018-11-13;1532.33900145;34.32508608336669;1600.9891736167335;1463.6888292832666;48.95640112588307;1514.800049
2018-11-14;1527.98450315;32.13273095474827;1592.2499650594964;1463.7190412405034;47.04698830929911;1502.51001
2018-11-15;1526.1530028999998;31.197169532282526;1588.5473419645648;1463.7586638354348;45.536798601739974;1524.119995
2018-11-16;1525.4275023999999;30.976201064196417;1587.3799045283927;1463.475100271607;47.215257797559616;1527.530029
2018-11-19;1523.2795043499998;31.43510278548757;1586.1497099209748;1460.4092987790248;49.72602126249369;1496.540039
2018-11-20;1520.4005065499998;33.673036495383904;1587.7465795407677;1453.054433559232;45.33805525471496;1469.01001
2018-11-21;1521.37951045;32.34941064354291;1586.0783317370858;1456.6806891629142;50.35932507938884;1488.280029
2018-11-23;1520.79351195;32.85170085021351;1586.4969136504271;1455.090110249573;49.63475458573795;1488.680054
2018-11-26;1521.9005127;31.89945665912765;1585.6994260182553;1458.1015993817448;53.96436720044867;1505.959961
2018-11-27;1522.678009;30.93021435918372;1584.5384377183675;1460.8175802816324;56.18620539119413;1492.859985
2018-11-28;1523.8650085000002;30.737264526078214;1585.3395375521566;1462.3904794478437;53.691563011252285;1530.380005
2018-11-29;1524.5640075500003;30.597760876081484;1585.7595293021632;1463.3684857978374;56.09612798714064;1525.390015
2018-11-30;1523.9785095500001;30.297092969378138;1584.5726954887564;1463.3843236112439;48.67623308566696;1533.27002
2018-12-03;1524.0275086000001;30.33871707393755;1584.7049427478753;1463.350074452125;52.75338219538626;1548.959961
2018-12-04;1520.6895081;31.277187964206885;1583.2438840284137;1458.1351321715863;57.84572239512072;1480.75
2018-12-06;1516.755011;31.53660658654496;1579.82822417309;1453.68179782691;57.734189448417474;1477.410034
2018-12-07;1510.0515076;31.14898474263476;1572.3494770852694;1447.7535381147304;60.40488524087557;1448.089966
2018-12-10;1503.2960083499997;30.226446394203748;1563.7489011384073;1442.8431155615922;58.158407176808225;1443.099976
2018-12-11;1497.8280091;31.302600273176765;1560.4332096463534;1435.2228085536465;55.090976389184576;1440.130005
2018-12-12;1494.65450445;32.268045941764846;1559.1905963335298;1430.1184125664704;56.952111856485764;1455.319946
2018-12-13;1490.54949955;34.700835279260836;1559.9511701085216;1421.1478289914785;58.30286882513164;1432.699951
2018-12-14;1485.964502;38.847672781899924;1563.6598475638;1408.2691564362;59.946423085964156;1410.810059
2018-12-17;1478.6655030000002;44.59080773428409;1567.8471184685684;1389.483887531432;58.341889101580065;1378.140015
2018-12-18;1471.1480042500002;48.42778740282103;1568.0035790556424;1374.292429444358;55.46280575381175;1377.180054
2018-12-19;1463.7825013000001;55.10468400955871;1573.9918693191175;1353.5731332808828;55.76455003051045;1349.22998
2018-12-20;1456.6320008;63.09061798019655;1582.813236760393;1330.450764839607;57.340502837738555;1326.0
2018-12-21;1446.82249765;72.46634498402041;1591.755187618041;1301.8898076819592;53.48886951678446;1292.089966
2018-12-24;1435.7344971500002;82.05582652119583;1599.8461501923919;1271.6228441076084;53.20669221546247;1266.920044
2018-12-26;1426.92700205;83.56118025960008;1594.0493625692002;1259.8046415308;55.29458424972468;1329.810059
2018-12-27;1418.8750001;84.6256292032667;1588.1262585065335;1249.6237416934666;45.97403764202229;1331.819946
2018-12-28;1409.25200205;82.18616294503363;1573.6243279400674;1244.8796761599328;52.503918304312926;1337.920044
2018-12-31;1400.41050425;78.46178233120106;1557.3340689124022;1243.4869395875978;52.69874654061776;1348.560059
2019-01-02;1391.5425049500002;72.44765338564237;1536.437811721285;1246.6471981787154;53.464819828625004;1355.910034
2019-01-03;1380.6360047;63.35003440256816;1507.3360735051365;1253.9359358948636;50.07187482880524;1330.829956
2019-01-04;1375.6360047;58.81662459996225;1493.2692538999245;1258.0027555000756;54.49233490374484;1380.75
2019-01-07;1372.0340027500001;54.28733497524367;1480.6086727004874;1263.4593327995128;48.01887261845794;1405.369995
2019-01-08;1370.9570069;52.89486662348069;1476.7467401469612;1265.1672736530386;49.612131994973915;1426.550049
2019-01-09;1370.7425110499998;52.59476655300102;1475.932044156002;1265.5529779439978;52.17868163674258;1438.810059
2019-01-10;1371.0075135;52.97476069134766;1476.9570348826953;1265.0579921173046;52.509156115950695;1445.430054
2019-01-11;1370.61051645;52.33555658918798;1475.2816296283759;1265.939403271624;54.67558322601763;1447.380005
2019-01-14;1370.6160218500002;52.34243714083538;1475.300896131671;1265.9311475683294;53.73036272554529;1432.810059
2019-01-15;1372.33651745;54.26342681050983;1480.8633710710196;1263.8096638289803;54.499153941212974;1445.219971
2019-01-16;1376.1645142500001;57.30934235747891;1490.783198964958;1261.5458295350422;58.896503722520166;1454.699951
2019-01-17;1380.6680115499998;60.82449227174478;1502.3169960934895;1259.0190270065102;59.38470657066306;1467.25
2019-01-18;1387.3315125499998;64.39439231657455;1516.120297183149;1258.5427279168507;60.27457622844148;1482.5
2019-01-22;1393.9040100999998;64.51323975608578;1522.9304896121714;1264.8775305878282;57.16178761564346;1457.449951
2019-01-23;1402.0125122999998;61.14650007717957;1524.305512454359;1279.7195121456407;49.429058583456616;1454.26001
2019-01-24;1411.8870117999998;53.67169001756363;1519.230391835127;1304.5436317648725;55.413076299482576;1464.410034
2019-01-25;1419.53900765;52.244572206032764;1524.0281520620656;1315.0498632379345;54.447298689342205;1482.849976
2019-01-28;1426.6250123;49.245710230994696;1525.1164327619895;1328.1335918380105;50.912887805609294;1473.540039
2019-01-29;1433.30150765;45.49543150698594;1524.292370663972;1342.3106446360282;46.481632864025;1471.449951
2019-01-30;1440.22050175;42.34281788223559;1524.9061375144713;1355.5348659855288;45.16976984628055;1486.939941
2019-01-31;1447.39600225;39.35796915213713;1526.1119405542743;1368.6800639457258;39.791339148846525;1499.420044
2019-02-01;1455.9570069000001;30.232041781491056;1516.4210904629822;1395.492923337018;44.922749973772326;1502.050049
2019-02-04;1462.79650885;27.688446072771285;1518.1734009955426;1407.4196167044574;48.463531523698045;1517.540039
2019-02-05;1468.5395081000001;27.055021112184416;1522.6495503243689;1414.4294658756314;49.61424815318167;1520.22998
2019-02-06;1473.11300665;27.313364554903934;1527.739735759808;1418.486277540192;46.28250029442483;1518.02002
2019-02-07;1476.45400395;26.981275659354736;1530.4165552687095;1422.4914526312905;46.3745846006196;1505.630005
2019-02-08;1479.5020019999997;26.734236804384484;1532.9704756087688;1426.0335283912307;46.25190168921463;1506.390015
2019-02-11;1483.08200075;26.999053752859034;1537.080108255718;1429.0838932442819;46.0366602450935;1518.97998
2019-02-12;1488.3529967999998;26.958440401073474;1542.2698776021468;1434.4361159978528;46.12274673039568;1538.22998
2019-02-13;1493.2389952999997;27.577841604692622;1548.394678509385;1438.0833120906145;44.45221828382343;1542.939941
2019-02-14;1497.759497;28.327829471167046;1554.4151559423342;1441.1038380576658;45.97963726492151;1545.109985
2019-02-15;1502.859497;31.545051443095165;1565.9495998861903;1439.7693941138095;48.68055303317724;1569.25
2019-02-19;1507.4579955500003;34.94156191378874;1577.3411193775778;1437.5748717224228;35.422812391966644;1574.469971
2019-02-20;1513.6684997;36.585209108689824;1586.8389179173796;1440.4980814826204;38.77294420472594;1581.660034
2019-02-21;1519.73300165;36.270523629139156;1592.2740489082782;1447.1919543917218;38.261535415892595;1575.550049
2019-02-22;1526.0155029;37.057092942114046;1600.1296887842282;1451.9013170157718;40.46718602521373;1590.060059
2019-02-25;1531.31350705;38.12020545373346;1607.5539179574669;1455.0730961425331;33.476891023162295;1588.810059
2019-02-26;1536.5105041000002;36.894761616641105;1610.3000273332823;1462.720980866718;40.72689578867677;1577.47998
2019-02-27;1541.990509;34.80285202799471;1611.5962130559894;1472.3848049440105;41.113296101349775;1581.050049
2019-02-28;1546.4210144;33.02042573784948;1612.461865875699;1480.3801629243012;41.05221919877493;1575.550049
2019-03-01;1550.9320129500002;32.41866781754878;1615.7693485850978;1486.0946773149026;40.88216396995217;1589.640015
2019-03-04;1554.60150755;30.702578979223077;1616.006665508446;1493.1963495915538;46.24891162880871;1575.439941
2019-03-05;1557.13850705;29.553823274127325;1616.2461535982548;1498.0308605017453;44.41293921711458;1568.280029
2019-03-06;1557.96800535;28.683375102181614;1615.3347555543633;1500.601255145637;54.39108771445302;1536.819946
2019-03-07;1558.2485046;28.296984473637504;1614.842473547275;1501.654535652725;54.57453593374483;1523.630005
2019-03-08;1559.0610046000002;26.905708075390326;1612.8724207507807;1505.2495884492196;49.70892932599524;1521.880005
2019-03-11;1561.1855041;24.054297196382755;1609.2940984927654;1513.0769097072343;49.469981375670024;1548.880005
2019-03-12;1562.7280028999999;22.11647542082831;1606.9609537416566;1518.4950520583432;47.517167616101325;1549.829956
2019-03-13;1563.61050415;21.42894868834459;1606.4684015266891;1520.7526067733108;48.46632083298159;1555.880005
2019-03-14;1563.9455078499998;21.139206319361666;1606.223920488723;1521.6670952112765;45.11236412532079;1549.640015
2019-03-15;1564.36701055;20.825589525833443;1606.018189601667;1522.715831498333;50.26598039896784;1553.540039
2019-03-18;1564.10101325;20.79388910316176;1605.6887914563235;1522.5132350436766;50.67136212753727;1563.930054
2019-03-19;1563.1270141999998;20.73879232324869;1604.6045988464973;1521.6494295535024;49.5481257899992;1554.98999
2019-03-20;1561.2020142000001;20.714789541100867;1602.631593282202;1519.7724351177983;50.884711304201204;1543.160034
2019-03-21;1560.5450134500002;20.442355176929652;1601.4297238038594;1519.660303096141;52.311576071728496;1562.410034
2019-03-22;1556.3380127;22.59329207134389;1601.5245968426877;1511.1514285573123;62.273149950120846;1505.920044
2019-03-25;1552.5405090000002;23.222226762694753;1598.9849625253896;1506.0960554746107;60.01366442501693;1512.859985
2019-03-26;1550.0750122000002;23.052038797471493;1596.1790897949431;1503.9709346050572;59.005824064677924;1528.170044
2019-03-27;1547.1340087500002;22.640713501498663;1592.4154357529976;1501.852581747003;59.102860802663535;1522.22998
2019-03-28;1545.1115051000002;21.758207682734497;1588.627920465469;1501.5950897345313;58.61592940768026;1535.099976
2019-03-29;1542.61650385;19.079524414160282;1580.7755526783205;1504.4574550216796;58.52659759648479;1539.73999
